,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
249,Sales Transactions,3,average,manhattan,1,,,,0.01
250,Sales Transactions,3,average,cosine,55,0.32,693.6,0.81,0.02
251,Sales Transactions,3,average,chebyshev,1,,,,0.02
252,Sales Transactions,3,average,minkowski,1,,,,0.04
253,Sales Transactions,3,average,mahalanobis,724,0.11,33387.19,0.08,0.17
254,Sales Transactions,3,complete,euclidean,1,,,,0.01
255,Sales Transactions,3,complete,manhattan,4,0.52,923.03,0.65,0.02
256,Sales Transactions,3,complete,cosine,94,0.32,856.09,0.85,0.03
257,Sales Transactions,3,complete,chebyshev,1,,,,0.02
258,Sales Transactions,3,complete,minkowski,1,,,,0.04
259,Sales Transactions,3,complete,mahalanobis,728,0.11,36521.85,0.08,0.19
260,Sales Transactions,3,single,euclidean,1,,,,0.0
261,Sales Transactions,3,single,manhattan,1,,,,0.0
262,Sales Transactions,3,single,cosine,4,-0.42,0.26,2.07,0.02
263,Sales Transactions,3,single,chebyshev,1,,,,0.01
264,Sales Transactions,3,single,minkowski,1,,,,0.03
265,Sales Transactions,3,single,mahalanobis,711,0.11,17764.48,0.08,0.17
266,Sales Transactions,4,ward,euclidean,19,0.38,562.13,0.86,0.02
267,Sales Transactions,4,average,euclidean,1,,,,0.01
268,Sales Transactions,4,average,manhattan,3,0.35,288.37,1.25,0.02
269,Sales Transactions,4,average,cosine,127,0.28,331.85,0.8,0.03
270,Sales Transactions,4,average,chebyshev,1,,,,0.02
271,Sales Transactions,4,average,minkowski,1,,,,0.03
272,Sales Transactions,4,average,mahalanobis,793,0.02,34802.48,0.03,0.19
273,Sales Transactions,4,complete,euclidean,3,0.25,209.96,1.6,0.02
274,Sales Transactions,4,complete,manhattan,12,0.36,511.72,0.91,0.02
275,Sales Transactions,4,complete,cosine,191,0.27,372.9,0.84,0.05
276,Sales Transactions,4,complete,chebyshev,2,0.2,109.21,1.05,0.03
277,Sales Transactions,4,complete,minkowski,3,0.25,209.96,1.6,0.07
278,Sales Transactions,4,complete,mahalanobis,793,0.02,34958.67,0.03,0.24
279,Sales Transactions,4,single,euclidean,1,,,,0.0
280,Sales Transactions,4,single,manhattan,1,,,,0.0
281,Sales Transactions,4,single,cosine,13,-0.5,2.25,1.41,0.01
282,Sales Transactions,4,single,chebyshev,1,,,,0.01
283,Sales Transactions,4,single,minkowski,1,,,,0.02
284,Sales Transactions,4,single,mahalanobis,788,0.02,20672.87,0.03,0.18
285,Wholesale,2,ward,euclidean,10,0.47,1382.88,0.64,0.01
286,Wholesale,2,average,euclidean,1,,,,0.0
287,Wholesale,2,average,manhattan,2,0.46,325.96,0.83,0.01
288,Wholesale,2,average,cosine,22,0.31,451.19,1.15,0.01
289,Wholesale,2,average,chebyshev,1,,,,0.01
290,Wholesale,2,average,minkowski,1,,,,0.01
291,Wholesale,2,average,mahalanobis,347,0.19,25891.73,0.13,0.07
292,Wholesale,2,complete,euclidean,4,0.53,912.42,0.74,0.01
